crop,season,state,area,production,fertilizer,pesticide,avg_temp_c,total_rainfall_mm,avg_humidity_percent,N,P,K,pH
17,1,6,-0.23939970320988013,-0.0630158179169252,-0.24996129766556358,-0.22350624180306375,0.7368780538819978,1.3229557587968461,0.8174698069621279,-0.5818303471156884,-0.7372695132174897,1.61702537607766,-0.6408614346717305
4,1,5,-0.23977161382704687,-0.06301899747452255,-0.2504743009010163,-0.22398547825679554,0.3912777595781248,-0.8280433939308867,-1.6367929029834931,0.6690445433379052,0.5639158184848972,-0.28134232816576005,1.247073736572717
28,4,27,-0.23960148450217272,-0.06301942860097644,-0.250354336390459,-0.22379035958722965,0.6426234281627601,-1.082006211842241,-1.958734936389087,2.170094411882218,0.9976442623856929,0.35144690658204664,1.3922995189761356
4,2,28,-0.2121038378073986,-0.06292428823102943,-0.2178364814343113,-0.19257164420971043,-1.3479445007173412,-0.2988063037725917,-0.6011690719470725,0.1686945871564678,-0.8240152019976489,0.7311204474307307,-0.3504098698648921
11,1,14,0.4886430253654831,-0.06155909936941925,0.28813189875834877,0.40143711657471803,0.44064923019296354,-0.6880215932144754,-1.6385378462539844,-0.33165536902496967,0.5639158184848972,-1.5469207976613735,1.1018479541692985
43,4,14,-0.2322648222209723,-0.06298420710943188,-0.2449532244708822,-0.21750983021102446,0.44064923019296354,-0.6880215932144754,-1.6385378462539844,-0.33165536902496967,0.5639158184848972,-1.5469207976613735,1.1018479541692985
41,0,13,-0.06874943970530954,-0.06201774477882273,-0.11936137849938312,-0.0712443372289782,0.6089610618344603,0.10197579731611522,1.2816247169127388,-0.5818303471156884,-0.47703244687701235,2.249814610825467,-1.3669903466888258
28,1,27,-0.23937068890641322,-0.06301918994168947,-0.25019092719666436,-0.22362785128026533,0.420451810395984,-0.8388813379944858,-1.2319660642295762,2.170094411882218,0.9976442623856929,0.35144690658204664,1.3922995189761356
29,1,20,-0.11054586268136621,-0.06295985616347441,-0.1549464826068007,-0.11300607341991586,0.5663220644852817,0.011960650787889424,0.742437246331014,-0.4817603558794009,-0.6505238244373306,-0.028226634266637383,-0.4956356522683119
44,5,29,-0.23812043619338463,-0.0630164222638293,-0.24830666144772778,-0.22259736382205664,0.5057298050943421,0.0371065824091349,0.723242870355613,0.4188695652471865,0.5639158184848972,1.61702537607766,-0.6408614346717305
41,3,26,-0.14758525872082573,-0.06217666106919707,-0.13675006398223583,-0.119452281555005,0.29926729161410653,1.7103171893857454,0.9814944743882835,-0.7319353339701197,-1.1709979571182854,0.35144690658204664,-1.0765387818819874
24,2,12,-0.08714582693530495,-0.06178040966596252,-0.05242033349874487,-0.09816056818292702,-0.050821318200206314,-0.576156264136976,0.5862648236220672,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
